"","x"
"450","M"
"451","B"
"452","B"
"453","B"
"454","B"
"455","B"
"456","B"
"457","M"
"458","B"
"459","M"
"460","M"
"461","M"
"462","M"
"463","B"
"464","M"
"465","B"
"466","B"
"467","B"
"468","B"
"469","B"
"470","B"
"471","B"
"472","B"
"473","M"
"474","M"
"475","M"
"476","B"
"477","B"
"478","B"
"479","M"
"480","M"
"481","B"
"482","B"
"483","B"
"484","B"
"485","B"
"486","B"
"487","B"
"488","B"
"489","B"
"490","M"
"491","B"
"492","B"
"493","B"
"494","M"
"495","B"
"496","B"
"497","M"
"498","B"
"499","B"
"500","B"
"501","B"
"502","B"
"503","B"
"504","B"
"505","B"
"506","B"
"507","B"
"508","M"
"509","B"
"510","B"
"511","B"
"512","B"
"513","B"
"514","M"
"515","B"
"516","B"
"517","B"
"518","B"
"519","B"
"520","B"
"521","B"
"522","B"
"523","M"
"524","B"
"525","B"
"526","B"
"527","B"
"528","B"
"529","B"
"530","B"
"531","M"
"532","M"
"533","B"
"534","B"
"535","B"
"536","B"
"537","B"
"538","B"
"539","B"
"540","B"
"541","B"
"542","B"
"543","B"
"544","B"
"545","M"
"546","M"
"547","M"
